town,year,mean_rate
Somers,2019_20,NA
Somers,2020_21,NA
Somers,2021_22,NA
Somers,2022_23,NA
Somers,2023_24,NA
South Windsor,2019_20,NA
South Windsor,2020_21,NA
South Windsor,2021_22,NA
South Windsor,2022_23,NA
South Windsor,2023_24,NA
Southington,2019_20,NA
Southington,2020_21,NA
Southington,2021_22,NA
Southington,2022_23,NA
Southington,2023_24,NA
Stafford Springs,2019_20,NA
Stafford Springs,2020_21,NA
Stafford Springs,2021_22,NA
Stafford Springs,2022_23,NA
Stafford Springs,2023_24,NA
Stamford,2019_20,NA
Stamford,2020_21,NA
Stamford,2021_22,NA
Stamford,2022_23,NA
Stamford,2023_24,NA
Storrs,2019_20,NA
Storrs,2020_21,NA
Storrs,2021_22,NA
Storrs,2022_23,NA
Storrs,2023_24,NA
Stratford,2019_20,NA
Stratford,2020_21,NA
Stratford,2021_22,NA
Stratford,2022_23,NA
Stratford,2023_24,NA
Suffield,2019_20,NA
Suffield,2020_21,NA
Suffield,2021_22,NA
Suffield,2022_23,NA
Suffield,2023_24,NA
Terryville,2019_20,NA
Terryville,2020_21,NA
Terryville,2021_22,NA
Terryville,2022_23,NA
Terryville,2023_24,NA
Thomaston,2019_20,NA
Thomaston,2020_21,NA
Thomaston,2021_22,NA
Thomaston,2022_23,NA
Thomaston,2023_24,NA
Tolland,2019_20,NA
Tolland,2020_21,NA
Tolland,2021_22,NA
Tolland,2022_23,NA
Tolland,2023_24,NA
Torrington,2019_20,NA
Torrington,2020_21,NA
Torrington,2021_22,NA
Torrington,2022_23,NA
Torrington,2023_24,NA
Trumbull,2019_20,NA
Trumbull,2020_21,NA
Trumbull,2021_22,NA
Trumbull,2022_23,NA
Trumbull,2023_24,NA
Vernon,2019_20,NA
Vernon,2020_21,NA
Vernon,2021_22,NA
Vernon,2022_23,NA
Vernon,2023_24,NA
Wallingford,2019_20,NA
Wallingford,2020_21,NA
Wallingford,2021_22,NA
Wallingford,2022_23,NA
Wallingford,2023_24,NA
Washington Depot,2019_20,NA
Washington Depot,2020_21,NA
Washington Depot,2021_22,NA
Washington Depot,2022_23,NA
Washington Depot,2023_24,NA
Waterbury,2019_20,NA
Waterbury,2020_21,NA
Waterbury,2021_22,NA
Waterbury,2022_23,NA
Waterbury,2023_24,NA
Waterford,2019_20,NA
Waterford,2020_21,NA
Waterford,2021_22,NA
Waterford,2022_23,NA
Waterford,2023_24,NA
Watertown,2019_20,NA
Watertown,2020_21,NA
Watertown,2021_22,NA
Watertown,2022_23,NA
Watertown,2023_24,NA
West Hartford,2019_20,NA
West Hartford,2020_21,NA
West Hartford,2021_22,NA
West Hartford,2022_23,NA
West Hartford,2023_24,NA
West Haven,2019_20,NA
West Haven,2020_21,NA
West Haven,2021_22,NA
West Haven,2022_23,NA
West Haven,2023_24,NA
Westbrook,2019_20,NA
Westbrook,2020_21,NA
Westbrook,2021_22,NA
Westbrook,2022_23,NA
Westbrook,2023_24,NA
Weston,2019_20,NA
Weston,2020_21,NA
Weston,2021_22,NA
Weston,2022_23,NA
Weston,2023_24,NA
Westport,2019_20,NA
Westport,2020_21,NA
Westport,2021_22,NA
Westport,2022_23,NA
Westport,2023_24,NA
Wethersfield,2019_20,NA
Wethersfield,2020_21,NA
Wethersfield,2021_22,NA
Wethersfield,2022_23,NA
Wethersfield,2023_24,NA
Willimantic,2019_20,NA
Willimantic,2020_21,NA
Willimantic,2021_22,NA
Willimantic,2022_23,NA
Willimantic,2023_24,NA
Wilton,2019_20,NA
Wilton,2020_21,NA
Wilton,2021_22,NA
Wilton,2022_23,NA
Wilton,2023_24,NA
Windsor,2019_20,NA
Windsor,2020_21,NA
Windsor,2021_22,NA
Windsor,2022_23,NA
Windsor,2023_24,NA
Windsor Locks,2019_20,NA
Windsor Locks,2020_21,NA
Windsor Locks,2021_22,NA
Windsor Locks,2022_23,NA
Windsor Locks,2023_24,NA
Winsted,2019_20,NA
Winsted,2020_21,NA
Winsted,2021_22,NA
Winsted,2022_23,NA
Winsted,2023_24,NA
Wolcott,2019_20,NA
Wolcott,2020_21,NA
Wolcott,2021_22,NA
Wolcott,2022_23,NA
Wolcott,2023_24,NA
Woodbridge,2019_20,NA
Woodbridge,2020_21,NA
Woodbridge,2021_22,NA
Woodbridge,2022_23,NA
Woodbridge,2023_24,NA
Woodbury,2019_20,NA
Woodbury,2020_21,NA
Woodbury,2021_22,NA
Woodbury,2022_23,NA
Woodbury,2023_24,NA
Woodstock,2019_20,NA
Woodstock,2020_21,NA
Woodstock,2021_22,NA
Woodstock,2022_23,NA
Woodstock,2023_24,NA
NA,2019_20,NA
NA,2020_21,NA
NA,2021_22,NA
NA,2022_23,NA
NA,2023_24,NA
